%Confiança,Ano,Estado,Microrregião,Mês,Produto,Produção,Produção Max,Produção Mín,Tipo,Tipo Ajustado,UF
90,2019,minas gerais,MG_Outros,12,Milho_1,0.009312871986372664,2.365585932649746,0.0,Prevista,Prevista,MG
95,2019,minas gerais,MG_Outros,2,Milho_1,2.99584186080167,98.02345657735752,0.0,Prevista,Prevista,MG
95,2019,minas gerais,MG_Outros,3,Milho_1,200.73110701947238,6309.1292994148935,6.265617808576796,Prevista,Prevista,MG
95,2019,minas gerais,MG_Outros,4,Milho_1,365.20050069142485,11475.31354674218,11.501625693664153,Prevista,Prevista,MG
95,2019,minas gerais,MG_Outros,5,Milho_1,91.90955950025518,2890.911769623925,2.8012013104256432,Prevista,Prevista,MG
95,2019,minas gerais,MG_Outros,6,Milho_1,0.02576804289483124,4.729815560632621,0.0,Prevista,Prevista,MG
95,2019,minas gerais,MG_Outros,7,Milho_1,0.008787308903563938,4.1964299957249205,0.0,Prevista,Prevista,MG
95,2019,minas gerais,MG_Outros,8,Milho_1,0.012149550138767591,4.3020420936187715,0.0,Prevista,Prevista,MG
95,2019,minas gerais,MG_Outros,9,Milho_1,0.014293588070796247,4.369388940000484,0.0,Prevista,Prevista,MG
95,2019,minas gerais,MG_Outros,10,Milho_1,0.012714121232347506,4.319775960236932,0.0,Prevista,Prevista,MG
95,2019,minas gerais,MG_Outros,11,Milho_1,0.010005052946154126,4.234680821301954,0.0,Prevista,Prevista,MG
95,2019,minas gerais,MG_Outros,12,Milho_1,0.009312871986372664,4.212938573149364,0.0,Prevista,Prevista,MG
70,2019,minas gerais,MG_Sul,2,Milho_1,5.421459545509441,34.767283768632886,0.6803009538367594,Prevista,Prevista,MG
70,2019,minas gerais,MG_Sul,3,Milho_1,363.25534751029363,2249.612067854777,58.492519803667314,Prevista,Prevista,MG
70,2019,minas gerais,MG_Sul,4,Milho_1,660.8892700259344,4091.843793307625,106.57873534762699,Prevista,Prevista,MG
70,2019,minas gerais,MG_Sul,5,Milho_1,166.32518731909582,1030.695266515802,26.676166176963907,Prevista,Prevista,MG
70,2019,minas gerais,MG_Sul,6,Milho_1,0.0466314340383429,1.4993055015134218,0.0,Prevista,Prevista,MG
70,2019,minas gerais,MG_Sul,7,Milho_1,0.015902054229864657,1.309103262776021,0.0,Prevista,Prevista,MG
70,2019,minas gerais,MG_Sul,8,Milho_1,0.021986572600945338,1.3467639322405944,0.0,Prevista,Prevista,MG
70,2019,minas gerais,MG_Sul,9,Milho_1,0.025866555407988642,1.3707794320899809,0.0,Prevista,Prevista,MG
70,2019,minas gerais,MG_Sul,10,Milho_1,0.0230082551484976,1.3530877275477078,0.0,Prevista,Prevista,MG
70,2019,minas gerais,MG_Sul,11,Milho_1,0.018105758687723187,1.3227432881853427,0.0,Prevista,Prevista,MG
70,2019,minas gerais,MG_Sul,12,Milho_1,0.016853145483826337,1.3149901269716069,0.0,Prevista,Prevista,MG
75,2019,minas gerais,MG_Sul,2,Milho_1,5.421459545509441,42.531656591256905,0.5144301493770488,Prevista,Prevista,MG
75,2019,minas gerais,MG_Sul,3,Milho_1,363.25534751029363,2748.707841817599,47.83030413977818,Prevista,Prevista,MG
